
Clock type: CPU
Ordered by: totaltime, desc

name                                  ncall  tsub      ttot      tavg      
..eading.py:381 Condition.notify_all  6      0.000071  0.000441  0.000073
..xternal>:1514 FileFinder.find_spec  1      0.000075  0.000441  0.000441
..cessing/synchronize.py:10 <module>  1      0.000090  0.000440  0.000440
..env.py:243 RailEnv.action_required  17     0.000148  0.000437  0.000026
../__init__.py:112 _nvml_based_avail  6      0.000066  0.000426  0.000071
...9/threading.py:880 TMonitor.start  1      0.000033  0.000417  0.000417
..y:149 _RandomNameSequence.__next__  1      0.000020  0.000411  0.000411
..frame.py:101 _maybe_set_eval_frame  12     0.000306  0.000401  0.000033
..:80 TrainStateMachine._handle_done  80     0.000399  0.000399  0.000005
..reading.py:271 Condition._is_owned  39     0.000243  0.000393  0.000010
.. TrainStateMachine._handle_waiting  114    0.000393  0.000393  0.000003
..ine.py:135 TrainStateMachine.reset  20     0.000260  0.000391  0.000020
..ypes.py:261 Timestamp.FromDatetime  7      0.000150  0.000389  0.000056
..ilbox.py:321 MailboxHandle.abandon  3      0.000043  0.000385  0.000128
..nd/envs/agent_utils.py:76 <lambda>  20     0.000157  0.000378  0.000019
..-rl/lib/python3.9/os.py:771 getenv  6      0.000065  0.000360  0.000060
..mailbox.py:246 MailboxHandle._time  28     0.000242  0.000358  0.000013
..un.py:1473 Run._visualization_hack  8      0.000217  0.000356  0.000044
..h/_dynamo/decorators.py:50 disable  1      0.000064  0.000354  0.000354
../threading.py:351 Condition.notify  6      0.000112  0.000351  0.000058
..core/grid/grid4.py:264 has_deadend  6      0.000348  0.000348  0.000058
..ython3.9/typing.py:137 _type_check  5      0.000108  0.000348  0.000070
..s.py:22 MotionCheck.get_G_reversed  82     0.000327  0.000327  0.000004
..ing.py:265 Condition._release_save  33     0.000235  0.000325  0.000010
..uler.py:208 CosineAnnealingLR.step  3      0.000137  0.000318  0.000106
..ay_function__ internals>:177 where  8      0.000080  0.000311  0.000039
..713 _UnionGenericAlias.__setattr__  14     0.000116  0.000311  0.000022
..ray_function__ internals>:177 amax  4      0.000044  0.000309  0.000077
..ndb_settings.py:531 Property.value  16/8   0.000138  0.000303  0.000019
..py:50 fast_grid4_rotate_transition  4      0.000154  0.000293  0.000073
..db/sdk/wandb_run.py:1646 <genexpr>  39     0.000180  0.000291  0.000007
..py/core/_ufunc_config.py:33 seterr  8      0.000129  0.000287  0.000036
..:1047 OpOverloadPacket.__getattr__  1      0.000052  0.000273  0.000273
..umpy/lib/function_base.py:871 copy  9      0.000061  0.000269  0.000030
..utils/_pytree.py:439 _dict_flatten  12     0.000178  0.000265  0.000022
..data_types/utils.py:62 val_to_json  31     0.000188  0.000264  0.000009
..y:145 _MailboxSlot._notify_abandon  3      0.000035  0.000259  0.000086
..thon3.9/tempfile.py:152 <listcomp>  1      0.000028  0.000252  0.000252
..:35 preprocess_action_when_waiting  66     0.000251  0.000251  0.000004
../tqdm/std.py:1446 tqdm.format_dict  5      0.000160  0.000251  0.000050
..es/tqdm/std.py:400 format_interval  9      0.000180  0.000241  0.000027
..etable_generators.py:57 <listcomp>  4      0.000080  0.000239  0.000060
..core/grid/grid4_utils.py:28 mirror  89     0.000234  0.000234  0.000003
..ensions.py:2989 _collect_type_vars  2      0.000057  0.000232  0.000116
..ap_external>:645 _compile_bytecode  1      0.000023  0.000231  0.000231
..py:677 _UnionGenericAlias.__init__  2      0.000046  0.000229  0.000115
..b._bootstrap>:558 module_from_spec  1      0.000020  0.000228  0.000228
..hon3.9/random.py:343 Random.choice  8      0.000064  0.000224  0.000028
..umpy/core/fromnumeric.py:2703 amax  4      0.000051  0.000223  0.000056
..ne.py:7 TrainStateMachine.__init__  20     0.000148  0.000221  0.000011
..3.9/os.py:674 _Environ.__getitem__  6      0.000096  0.000219  0.000036
..c_config.py:430 errstate.__enter__  4      0.000044  0.000216  0.000054
..es/tqdm/std.py:686 _decr_instances  1      0.000037  0.000209  0.000209
..h/optim/optimizer.py:184 <genexpr>  12     0.000199  0.000199  0.000017
.._bootstrap>:486 _init_module_attrs  1      0.000039  0.000198  0.000198
..y:102 TqdmDefaultWriteLock.acquire  8      0.000122  0.000195  0.000024
...py:229 InterfaceSock._make_record  12     0.000138  0.000195  0.000016
..y:213 DisableOnWriteError.__init__  1      0.000041  0.000195  0.000195
..python3.9/typing.py:665 _is_dunder  14     0.000121  0.000194  0.000014
..nvs/agent_chains.py:226 <dictcomp>  5      0.000085  0.000194  0.000039
../python3.9/typing.py:466 <genexpr>  6      0.000028  0.000190  0.000032
..ilbox.py:110 _MailboxSlot.__init__  3      0.000062  0.000189  0.000063
..kx/classes/filters.py:20 no_filter  76     0.000187  0.000187  0.000002
..k/wandb_run.py:824 Run.__setattr__  8      0.000136  0.000183  0.000023
..nvs/rail_generators.py:736 argsort  8      0.000092  0.000181  0.000023
..nd/envs/agent_utils.py:78 <lambda>  20     0.000117  0.000177  0.000009
..ap_external>:361 cache_from_source  2      0.000046  0.000177  0.000088
..ounter.py:13 SpeedCounter.__init__  20     0.000124  0.000175  0.000009
..numeric.py:1149 _argmax_dispatcher  68     0.000173  0.000173  0.000003
...9/threading.py:528 Event.__init__  5      0.000079  0.000171  0.000034
..nd/envs/agent_utils.py:75 <lambda>  20     0.000116  0.000169  0.000008
..on3.9/abc.py:117 __instancecheck__  12     0.000083  0.000167  0.000014
..sdk/wandb_settings.py:732 <lambda>  8      0.000052  0.000167  0.000021
..ackages/torch/_ops.py:995 <lambda>  12     0.000117  0.000164  0.000014
..4 WandBHistoryJSONEncoder.__init__  39     0.000164  0.000164  0.000004
..ateMachine._handle_ready_to_depart  43     0.000163  0.000163  0.000004
..y:106 TqdmDefaultWriteLock.release  8      0.000111  0.000160  0.000020
..e_generators.py:15 len_handle_none  20     0.000110  0.000160  0.000008
..kages/tqdm/std.py:231 EMA.__call__  19     0.000155  0.000155  0.000008
..bootstrap_external>:121 _path_join  6      0.000050  0.000151  0.000025
..mnumeric.py:432 _repeat_dispatcher  60     0.000151  0.000151  0.000003
..nc_config.py:435 errstate.__exit__  4      0.000034  0.000150  0.000037
..ges/tqdm/std.py:186 Bar.__format__  5      0.000104  0.000146  0.000029
..ame.py:597 DisableContext.__call__  1      0.000040  0.000144  0.000144
..Random._randbelow_with_getrandbits  8      0.000086  0.000143  0.000018
..etable_generators.py:60 <listcomp>  4      0.000088  0.000142  0.000036
../sock_client.py:38 SockBuffer._get  6      0.000109  0.000141  0.000023
..ction__ internals>:177 concatenate  4      0.000056  0.000140  0.000035
..ile.py:138 _RandomNameSequence.rng  1      0.000046  0.000136  0.000136
.._weakrefset.py:63 WeakSet.__iter__  3      0.000042  0.000134  0.000045
..hon3.9/typing.py:128 _type_convert  5      0.000037  0.000134  0.000027
..et_fused_kernels_supported_devices  6      0.000060  0.000134  0.000022
..e_sock.py:45 InterfaceSock._assign  19     0.000133  0.000133  0.000007
../sock_client.py:74 SockBuffer.peek  3      0.000050  0.000132  0.000044
..110 TqdmDefaultWriteLock.__enter__  4      0.000033  0.000130  0.000032
..ame.py:594 DisableContext.__init__  1      0.000032  0.000128  0.000128
..r.py:1085 CosineAnnealingLR.get_lr  3      0.000047  0.000128  0.000043
..ssing.py:10 process_illegal_action  4      0.000056  0.000127  0.000032
..._bootstrap>:385 ModuleSpec.cached  2      0.000011  0.000126  0.000063
..ages/tqdm/std.py:679 _get_free_pos  1      0.000025  0.000125  0.000125
..threading.py:802 TMonitor.__init__  1      0.000055  0.000124  0.000124
..-rl/lib/python3.9/os.py:754 encode  6      0.000075  0.000123  0.000020
..ernal>:1565 FileFinder._fill_cache  1      0.000033  0.000122  0.000122
..et_closest_neighbour_for_direction  32     0.000118  0.000118  0.000004
.._methods.py:67 _count_reduce_items  4      0.000100  0.000116  0.000029
..ootstrap_external>:491 _get_cached  1      0.000013  0.000116  0.000116
...py:94 EnumTypeWrapper.__getattr__  7      0.000112  0.000112  0.000016
..y:156 DisableOnWriteError.__init__  1      0.000105  0.000112  0.000112
..n3.9/threading.py:536 Event.is_set  32     0.000112  0.000112  0.000003
..al>:1036 SourceFileLoader.get_data  1      0.000029  0.000111  0.000111
..typing.py:232 _remove_dups_flatten  2      0.000045  0.000111  0.000056
..b/python3.9/calendar.py:655 timegm  7      0.000088  0.000106  0.000015
..r.py:31 SpeedCounter.reset_counter  40     0.000106  0.000106  0.000003
..omnumeric.py:2950 _prod_dispatcher  36     0.000105  0.000105  0.000003
..:113 TqdmDefaultWriteLock.__exit__  4      0.000027  0.000099  0.000025
..tils/_pytree.py:411 _tuple_flatten  24     0.000099  0.000099  0.000004
..>:156 _ModuleLockManager.__enter__  1      0.000015  0.000097  0.000097
..ame.py:297 DisableContext.__init__  1      0.000061  0.000096  0.000096
..y/core/_ufunc_config.py:132 geterr  8      0.000075  0.000093  0.000012
..ock_client.py:34 SockBuffer.length  29     0.000092  0.000092  0.000003
..packages/tqdm/std.py:682 <setcomp>  1      0.000013  0.000090  0.000090
.._.py:1675 Logger.getEffectiveLevel  12     0.000090  0.000090  0.000007
..4.py:24 fast_grid4_set_transitions  16     0.000090  0.000090  0.000006
..andb/sdk/wandb_run.py:283 <lambda>  8      0.000056  0.000089  0.000011
..ime_remaining_until_latest_arrival  28     0.000089  0.000089  0.000003
..m/utils.py:333 _screen_shape_linux  1      0.000042  0.000087  0.000087
..bootstrap_external>:123 <listcomp>  6      0.000055  0.000086  0.000014
../typing.py:524 ForwardRef.__init__  1      0.000017  0.000085  0.000085
..lbox.py:318 MailboxHandle._release  3      0.000037  0.000083  0.000028
..stance_map.py:47 DistanceMap.reset  4      0.000082  0.000082  0.000021
..n3.9/random.py:117 Random.__init__  1      0.000011  0.000082  0.000082
...py:2976 _is_unpacked_typevartuple  4      0.000023  0.000077  0.000019
..b/sock_client.py:71 SockBuffer.get  3      0.000018  0.000076  0.000025
..andb/sdk/wandb_run.py:327 <lambda>  4      0.000056  0.000075  0.000019
..on3.9/threading.py:553 Event.clear  3      0.000030  0.000075  0.000025
..y:650 TorchBindOpOverload.__init__  1      0.000058  0.000075  0.000075
..bootstrap_external>:135 _path_stat  3      0.000021  0.000075  0.000025
..hreading.py:228 Condition.__init__  5      0.000074  0.000074  0.000015
..b/sock_client.py:77 SockBuffer.put  3      0.000054  0.000073  0.000024
..im/lr_scheduler.py:1105 <listcomp>  3      0.000053  0.000073  0.000024
..3.9/functools.py:35 update_wrapper  1      0.000038  0.000073  0.000073
../cuda/__init__.py:107 _is_compiled  6      0.000047  0.000073  0.000012
../_weakrefset.py:111 WeakSet.remove  1      0.000011  0.000073  0.000073
..rocessing.py:18 process_do_nothing  19     0.000073  0.000073  0.000004
..ng/util.py:171 register_after_fork  1      0.000027  0.000071  0.000071
..ython3.9/random.py:126 Random.seed  1      0.000029  0.000071  0.000071
...9/typing.py:565 ForwardRef.__eq__  10     0.000046  0.000071  0.000007
..kages/tqdm/std.py:153 Bar.__init__  5      0.000052  0.000069  0.000014
..erfaceSock._transport_mark_success  4      0.000051  0.000068  0.000017
<frozen importlib._bootstrap>:185 cb  1      0.000017  0.000063  0.000063
...py:11 MalfunctionHandler.__init__  20     0.000061  0.000061  0.000003
..ootstrap_external>:127 _path_split  2      0.000018  0.000060  0.000030
..b._bootstrap>:166 _get_module_lock  1      0.000032  0.000060  0.000060
..ops.py:1002 _has_script_object_arg  1      0.000029  0.000059  0.000059
..py:232 _tensor_or_tensors_to_tuple  12     0.000058  0.000058  0.000005
..ler.py:15 MalfunctionHandler.reset  20     0.000058  0.000058  0.000003
..y/lib/shape_base.py:1263 <genexpr>  16     0.000057  0.000057  0.000004
..umpy/core/getlimits.py:476 __new__  4      0.000042  0.000057  0.000014
..set.py:27 _IterationGuard.__exit__  2      0.000024  0.000056  0.000028
.._has_generic_or_protocol_as_origin  2      0.000039  0.000056  0.000028
../lib/python3.9/typing.py:1375 cast  18     0.000056  0.000056  0.000003
..y/lib/shape_base.py:1273 <genexpr>  16     0.000056  0.000056  0.000003
..._bootstrap>:1033 _handle_fromlist  4      0.000035  0.000055  0.000014
